Deficiencia,items
Nitrogeno,"0,21,22,3"
Azufre,"1,3,21"
Fósforo,"2,3,13,16,21,22,23"
Silicio,"24,25"
Boro,"8,14,15,26"
Hierro,"4,6"
Manganeso,"5,17"
Cobre,"2,6,9,18,27,28"
Níquel,18
Molibdeno,"1,9,17,19,29"
Potasio,"7,9,13,20,22,30"
Calcio,"1,13"
Magnesio,"5,27"
Cloro,"1,11,12,21"
Zinc,31
Sodio,"1,13"
