Deficiencia,items
Nitrogeno,"0, 9, 10, 4"
Azufre,"1,3,9"
Fósforo,"2, 3, 5, 8, 9, 10, 11"
Silicio,"12 ,13"
Boro,"4, 6, 7, 14"
